Municipality   ,Population     ,Males     ,Females   ,0-4       ,5-9       ,10-14     ,15-19     ,20-24     ,25-29     ,30-34     ,35-39     ,40-44     ,45-49     ,50-54     ,55-59     ,60-64     ,65-69     ,70-74     ,75-79     ,80+       
11001          ,7980001        ,3861624   ,4118377   ,605449    ,600078    ,603336    ,637600    ,673222    ,640632    ,656790    ,628185    ,547958    ,518352    ,497879    ,423052    ,325516    ,241887    ,167928    ,107806    ,104331    
13001          ,1013389        ,490036    ,523353    ,81824     ,85455     ,89493     ,92636     ,89451     ,83864     ,80320     ,70456     ,60246     ,59094     ,58167     ,49727     ,37581     ,28089     ,19041     ,13600     ,14345     
13006          ,23451          ,11865     ,11586     ,2420      ,2352      ,2247      ,2213      ,2137      ,1933      ,1565      ,1413      ,1287      ,1275      ,1134      ,942       ,729       ,612       ,447       ,358       ,387       
13030          ,13946          ,7495      ,6451      ,1554      ,1426      ,1329      ,1289      ,1255      ,1160      ,896       ,747       ,677       ,754       ,697       ,570       ,439       ,368       ,275       ,238       ,272       
13042          ,19302          ,10194     ,9108      ,2488      ,2239      ,2130      ,2158      ,1834      ,1523      ,1102      ,991       ,945       ,977       ,728       ,624       ,468       ,394       ,213       ,243       ,245       
13052          ,73891          ,37436     ,36455     ,7437      ,7497      ,7461      ,7525      ,6976      ,5720      ,5112      ,4414      ,4022      ,3943      ,3674      ,2939      ,2295      ,1688      ,1248      ,933       ,1007      
13062          ,10038          ,5288      ,4750      ,1112      ,1078      ,1036      ,1049      ,915       ,795       ,653       ,565       ,523       ,522       ,444       ,368       ,288       ,209       ,170       ,141       ,170       
13074          ,18095          ,9693      ,8402      ,2479      ,2186      ,2014      ,1925      ,1834      ,1414      ,1030      ,950       ,848       ,798       ,721       ,545       ,418       ,333       ,211       ,181       ,208       
13140          ,23609          ,12434     ,11175     ,2618      ,2533      ,2442      ,2467      ,2155      ,1872      ,1534      ,1327      ,1231      ,1228      ,1046      ,863       ,677       ,490       ,399       ,329       ,398       
13160          ,9393           ,4805      ,4588      ,964       ,927       ,908       ,939       ,866       ,724       ,632       ,627       ,589       ,566       ,465       ,365       ,268       ,196       ,154       ,105       ,98        
13188          ,11124          ,5581      ,5543      ,1166      ,1139      ,1109      ,1098      ,1042      ,909       ,710       ,624       ,572       ,578       ,524       ,443       ,347       ,291       ,216       ,173       ,183       
13212          ,12389          ,6250      ,6139      ,1559      ,1406      ,1282      ,1319      ,1220      ,1053      ,809       ,631       ,582       ,545       ,458       ,393       ,336       ,256       ,201       ,161       ,178       
13222          ,12653          ,6678      ,5975      ,1488      ,1411      ,1339      ,1407      ,1256      ,1062      ,868       ,619       ,621       ,620       ,536       ,422       ,319       ,261       ,163       ,123       ,138       
13244          ,76051          ,39235     ,36816     ,9430      ,8535      ,8111      ,7662      ,7470      ,5806      ,4323      ,3612      ,3626      ,3600      ,3151      ,2747      ,2471      ,2006      ,1279      ,1062      ,1160      
13248          ,7770           ,4148      ,3622      ,749       ,711       ,680       ,697       ,651       ,635       ,520       ,422       ,341       ,426       ,412       ,330       ,334       ,266       ,225       ,181       ,190       
13268          ,9694           ,5194      ,4500      ,1255      ,1109      ,1007      ,1030      ,946       ,830       ,603       ,510       ,419       ,406       ,364       ,339       ,218       ,232       ,146       ,136       ,144       
13300          ,12043          ,6444      ,5599      ,1655      ,1469      ,1326      ,1273      ,1221      ,1027      ,773       ,597       ,474       ,492       ,412       ,337       ,274       ,230       ,180       ,141       ,162       
13430          ,123833         ,62639     ,61194     ,12782     ,12421     ,11867     ,11689     ,11285     ,10187     ,8267      ,7465      ,6796      ,6728      ,5988      ,4975      ,3854      ,3228      ,2358      ,1895      ,2048      
13433          ,26126          ,13498     ,12628     ,2665      ,2554      ,2411      ,2426      ,2238      ,2004      ,1654      ,1498      ,1436      ,1560      ,1502      ,1183      ,918       ,640       ,520       ,431       ,486       
13440          ,9966           ,5012      ,4954      ,1135      ,1068      ,1006      ,1032      ,1015      ,840       ,608       ,510       ,469       ,469       ,437       ,359       ,292       ,243       ,187       ,140       ,156       
13442          ,48439          ,24932     ,23507     ,5857      ,5399      ,4946      ,4989      ,4578      ,3994      ,3170      ,2580      ,2494      ,2388      ,2014      ,1651      ,1331      ,978       ,768       ,618       ,684       
13458          ,21742          ,11409     ,10333     ,2591      ,2396      ,2256      ,2162      ,2088      ,1886      ,1405      ,1111      ,969       ,1058      ,972       ,776       ,579       ,483       ,358       ,310       ,342       
13468          ,44460          ,22384     ,22076     ,5094      ,4778      ,4492      ,4575      ,4526      ,3748      ,2705      ,2267      ,2085      ,2093      ,1945      ,1601      ,1303      ,1084      ,836       ,627       ,701       
13473          ,21501          ,11269     ,10232     ,2617      ,2347      ,2266      ,2211      ,2178      ,1669      ,1203      ,1133      ,1074      ,1133      ,966       ,735       ,595       ,520       ,317       ,269       ,268       
13490          ,5177           ,2917      ,2260      ,603       ,648       ,684       ,595       ,445       ,377       ,308       ,268       ,270       ,256       ,215       ,150       ,113       ,106       ,55        ,33        ,51        
13549          ,25186          ,13501     ,11685     ,3456      ,3088      ,2740      ,2609      ,2436      ,1964      ,1466      ,1281      ,1150      ,996       ,900       ,775       ,617       ,510       ,424       ,366       ,408       
13580          ,10682          ,5620      ,5062      ,1371      ,1265      ,1256      ,1115      ,959       ,714       ,569       ,616       ,586       ,531       ,441       ,367       ,272       ,221       ,169       ,121       ,109       
13600          ,18371          ,9745      ,8626      ,2231      ,2024      ,2009      ,1841      ,1602      ,1335      ,1089      ,1000      ,954       ,1046      ,827       ,730       ,512       ,489       ,266       ,220       ,196       
13620          ,6694           ,3420      ,3274      ,599       ,600       ,576       ,597       ,580       ,550       ,432       ,414       ,390       ,399       ,367       ,318       ,240       ,194       ,158       ,127       ,153       
13647          ,16369          ,8227      ,8142      ,1807      ,1757      ,1725      ,1472      ,1472      ,1302      ,1051      ,890       ,767       ,830       ,815       ,675       ,545       ,433       ,334       ,235       ,259       
13650          ,13846          ,7354      ,6492      ,1634      ,1506      ,1412      ,1350      ,1315      ,1218      ,929       ,739       ,646       ,695       ,623       ,487       ,360       ,299       ,221       ,192       ,220       
13654          ,21570          ,11078     ,10492     ,2121      ,1969      ,1864      ,2097      ,2047      ,1730      ,1325      ,1153      ,1139      ,1251      ,1119      ,934       ,827       ,671       ,476       ,399       ,448       
13655          ,13723          ,7400      ,6323      ,1682      ,1536      ,1473      ,1401      ,1242      ,1030      ,879       ,798       ,735       ,669       ,588       ,491       ,425       ,317       ,167       ,142       ,148       
13657          ,33623          ,17217     ,16406     ,3268      ,3117      ,3058      ,3095      ,3142      ,2759      ,2090      ,1774      ,1734      ,1871      ,1839      ,1559      ,1224      ,1024      ,782       ,604       ,683       
13667          ,17689          ,9117      ,8572      ,2445      ,2086      ,1849      ,1838      ,1739      ,1511      ,1029      ,767       ,753       ,801       ,723       ,590       ,507       ,376       ,261       ,177       ,237       
13670          ,34033          ,17172     ,16861     ,3802      ,3537      ,3490      ,3244      ,3042      ,2593      ,2255      ,2057      ,2301      ,1998      ,1506      ,1160      ,927       ,735       ,579       ,432       ,375       
13673          ,13298          ,6733      ,6565      ,1552      ,1454      ,1369      ,1254      ,1224      ,983       ,813       ,704       ,679       ,674       ,717       ,541       ,411       ,305       ,235       ,183       ,200       
13683          ,23105          ,12148     ,10957     ,2582      ,2478      ,2470      ,2332      ,2136      ,1787      ,1591      ,1403      ,1294      ,1298      ,1100      ,848       ,589       ,397       ,304       ,242       ,254       
13688          ,42960          ,22383     ,20577     ,5421      ,5085      ,5034      ,5005      ,4132      ,3197      ,2500      ,2157      ,2386      ,2242      ,1693      ,1352      ,1009      ,637       ,460       ,345       ,305       
13744          ,20576          ,10704     ,9872      ,2668      ,2440      ,2413      ,2155      ,1870      ,1391      ,1109      ,1191      ,1135      ,1026      ,843       ,686       ,508       ,408       ,314       ,221       ,198       
13760          ,8467           ,4202      ,4265      ,711       ,727       ,744       ,804       ,765       ,666       ,610       ,550       ,534       ,553       ,509       ,400       ,299       ,222       ,147       ,107       ,119       
13780          ,11387          ,6091      ,5296      ,1339      ,1296      ,1255      ,1174      ,1092      ,957       ,702       ,553       ,487       ,536       ,493       ,400       ,309       ,257       ,189       ,167       ,181       
13810          ,22474          ,12062     ,10412     ,3357      ,2840      ,2556      ,2529      ,2196      ,1819      ,1315      ,1126      ,1044      ,918       ,724       ,560       ,447       ,327       ,260       ,225       ,231       
13836          ,73179          ,36388     ,36791     ,6185      ,6293      ,6433      ,6934      ,6604      ,5758      ,5255      ,4742      ,4604      ,4775      ,4395      ,3456      ,2587      ,1918      ,1277      ,935       ,1028      
13838          ,15031          ,7765      ,7266      ,1679      ,1676      ,1706      ,1483      ,1282      ,1048      ,976       ,852       ,881       ,808       ,730       ,527       ,432       ,358       ,233       ,157       ,203       
13873          ,19923          ,9926      ,9997      ,2037      ,2001      ,1964      ,1953      ,1819      ,1506      ,1364      ,1203      ,1120      ,1108      ,1029      ,820       ,640       ,471       ,350       ,260       ,278       
13894          ,11688          ,6141      ,5547      ,1382      ,1232      ,1125      ,1174      ,1219      ,933       ,653       ,541       ,545       ,526       ,566       ,471       ,395       ,315       ,232       ,174       ,205       
15001          ,191924         ,91904     ,100020    ,14362     ,15773     ,17437     ,17864     ,15628     ,15331     ,16352     ,14329     ,12749     ,11919     ,10956     ,9484      ,7175      ,4999      ,3141      ,2241      ,2184      
15022          ,1699           ,874       ,825       ,148       ,145       ,140       ,143       ,134       ,113       ,91        ,88        ,100       ,91        ,98        ,80        ,80        ,70        ,63        ,52        ,63        
15047          ,15060          ,7700      ,7360      ,1562      ,1596      ,1594      ,1501      ,1203      ,1033      ,853       ,791       ,838       ,795       ,748       ,648       ,567       ,476       ,332       ,257       ,266       
15051          ,5243           ,2661      ,2582      ,471       ,480       ,477       ,392       ,380       ,339       ,296       ,329       ,353       ,309       ,302       ,273       ,211       ,197       ,157       ,129       ,148       
15087          ,7255           ,3627      ,3628      ,565       ,605       ,621       ,602       ,565       ,512       ,443       ,463       ,481       ,458       ,425       ,348       ,300       ,251       ,211       ,192       ,213       
15090          ,1934           ,1004      ,930       ,211       ,225       ,230       ,211       ,166       ,144       ,116       ,117       ,110       ,115       ,82        ,66        ,46        ,31        ,26        ,17        ,21        
15092          ,2024           ,1025      ,999       ,176       ,195       ,204       ,157       ,141       ,131       ,124       ,128       ,114       ,120       ,100       ,93        ,92        ,74        ,67        ,48        ,60        
15097          ,6914           ,3319      ,3595      ,498       ,544       ,570       ,562       ,525       ,462       ,354       ,338       ,365       ,415       ,453       ,412       ,390       ,326       ,243       ,196       ,261       
15104          ,4414           ,2243      ,2171      ,440       ,437       ,427       ,409       ,340       ,298       ,253       ,243       ,259       ,247       ,234       ,205       ,183       ,157       ,107       ,85        ,90        
15106          ,2568           ,1376      ,1192      ,235       ,235       ,237       ,211       ,200       ,152       ,132       ,135       ,155       ,177       ,154       ,130       ,105       ,92        ,79        ,71        ,68        
15109          ,5777           ,3099      ,2678      ,536       ,542       ,563       ,499       ,466       ,352       ,297       ,298       ,335       ,372       ,322       ,277       ,233       ,208       ,177       ,155       ,145       
15114          ,1192           ,583       ,609       ,95        ,95        ,98        ,91        ,83        ,80        ,72        ,76        ,78        ,88        ,77        ,63        ,57        ,41        ,33        ,26        ,39        
15131          ,3596           ,1838      ,1758      ,268       ,286       ,302       ,280       ,268       ,242       ,213       ,206       ,223       ,234       ,224       ,172       ,154       ,152       ,125       ,119       ,128       
15135          ,3813           ,2005      ,1808      ,374       ,385       ,394       ,379       ,317       ,272       ,217       ,224       ,211       ,236       ,176       ,167       ,142       ,109       ,87        ,58        ,65        
15162          ,3714           ,1804      ,1910      ,266       ,297       ,319       ,278       ,273       ,231       ,201       ,180       ,210       ,260       ,228       ,212       ,212       ,158       ,113       ,115       ,161       
15172          ,3499           ,1765      ,1734      ,265       ,277       ,282       ,309       ,272       ,231       ,197       ,203       ,212       ,228       ,213       ,202       ,162       ,142       ,108       ,88        ,108       
15176          ,66203          ,32778     ,33425     ,5562      ,6098      ,6686      ,6542      ,5592      ,4998      ,4400      ,4181      ,4388      ,4390      ,3636      ,2840      ,2153      ,1697      ,1216      ,871       ,953       
15180          ,4200           ,2138      ,2062      ,365       ,392       ,399       ,365       ,289       ,237       ,220       ,230       ,214       ,214       ,196       ,226       ,214       ,176       ,171       ,135       ,157       
15183          ,9407           ,4834      ,4573      ,1119      ,1089      ,1060      ,921       ,791       ,616       ,469       ,454       ,409       ,346       ,318       ,338       ,300       ,308       ,305       ,269       ,295       
15185          ,5596           ,2945      ,2651      ,468       ,482       ,491       ,420       ,380       ,291       ,259       ,278       ,332       ,388       ,344       ,311       ,281       ,261       ,224       ,199       ,187       
15187          ,6315           ,3270      ,3045      ,579       ,621       ,640       ,562       ,494       ,415       ,359       ,337       ,383       ,360       ,333       ,302       ,276       ,206       ,157       ,130       ,161       
15189          ,4694           ,2319      ,2375      ,396       ,413       ,412       ,400       ,352       ,298       ,236       ,252       ,278       ,301       ,294       ,240       ,216       ,184       ,157       ,118       ,147       
15204          ,14812          ,9786      ,5026      ,875       ,914       ,955       ,1021      ,1011      ,974       ,1322      ,1728      ,1523      ,1089      ,946       ,715       ,559       ,404       ,283       ,245       ,248       
15212          ,3610           ,1935      ,1675      ,324       ,329       ,342       ,299       ,284       ,217       ,189       ,193       ,219       ,240       ,204       ,176       ,150       ,132       ,113       ,103       ,96        
15215          ,2251           ,1103      ,1148      ,175       ,178       ,184       ,171       ,161       ,158       ,137       ,144       ,148       ,165       ,145       ,118       ,106       ,77        ,63        ,48        ,73        
15218          ,2825           ,1518      ,1307      ,255       ,252       ,245       ,225       ,216       ,229       ,169       ,134       ,148       ,131       ,120       ,140       ,142       ,130       ,116       ,87        ,86        
15223          ,6730           ,3544      ,3186      ,745       ,738       ,766       ,711       ,573       ,475       ,415       ,386       ,389       ,407       ,319       ,218       ,174       ,143       ,120       ,73        ,78        
15224          ,4687           ,2474      ,2213      ,453       ,474       ,487       ,462       ,380       ,328       ,266       ,279       ,264       ,298       ,223       ,207       ,175       ,136       ,106       ,69        ,80        
15226          ,1892           ,995       ,897       ,167       ,165       ,158       ,178       ,161       ,138       ,123       ,109       ,103       ,87        ,79        ,71        ,76        ,74        ,69        ,66        ,68        
15232          ,5433           ,2945      ,2488      ,537       ,532       ,524       ,545       ,494       ,454       ,386       ,322       ,327       ,260       ,246       ,200       ,197       ,149       ,108       ,72        ,80        
15236          ,1752           ,939       ,813       ,177       ,175       ,180       ,166       ,154       ,121       ,104       ,94        ,97        ,100       ,86        ,73        ,60        ,57        ,42        ,35        ,31        
15238          ,113105         ,52101     ,61004     ,8876      ,9542      ,10360     ,10458     ,8938      ,7706      ,7233      ,7289      ,7332      ,7669      ,6950      ,6032      ,4761      ,3543      ,2484      ,1916      ,2016      
15244          ,5197           ,2667      ,2530      ,478       ,498       ,511       ,425       ,402       ,371       ,310       ,290       ,299       ,274       ,272       ,250       ,205       ,178       ,174       ,123       ,137       
15248          ,4205           ,2561      ,1644      ,265       ,222       ,241       ,401       ,705       ,465       ,211       ,214       ,200       ,198       ,139       ,143       ,160       ,148       ,135       ,174       ,184       
15272          ,5864           ,2822      ,3042      ,422       ,460       ,486       ,422       ,409       ,356       ,323       ,289       ,349       ,439       ,381       ,343       ,333       ,241       ,177       ,176       ,258       
15276          ,4478           ,2197      ,2281      ,329       ,356       ,376       ,329       ,330       ,287       ,255       ,226       ,263       ,321       ,275       ,252       ,246       ,180       ,130       ,130       ,193       
15293          ,2617           ,1329      ,1288      ,236       ,240       ,238       ,197       ,190       ,169       ,148       ,164       ,176       ,154       ,150       ,136       ,105       ,98        ,78        ,64        ,74        
15296          ,4776           ,2462      ,2314      ,438       ,467       ,486       ,430       ,356       ,342       ,297       ,261       ,259       ,269       ,244       ,225       ,182       ,156       ,125       ,112       ,127       
15299          ,16974          ,8235      ,8739      ,1492      ,1569      ,1622      ,1582      ,1313      ,1072      ,837       ,772       ,956       ,1023      ,994       ,853       ,791       ,680       ,522       ,411       ,485       
15317          ,1657           ,796       ,861       ,127       ,130       ,127       ,138       ,125       ,117       ,92        ,80        ,80        ,81        ,71        ,77        ,94        ,75        ,87        ,74        ,82        
15322          ,9552           ,4731      ,4821      ,685       ,739       ,772       ,767       ,711       ,653       ,480       ,526       ,604       ,672       ,657       ,581       ,463       ,401       ,320       ,236       ,285       
15325          ,5013           ,2646      ,2367      ,246       ,286       ,318       ,302       ,246       ,240       ,244       ,268       ,294       ,299       ,327       ,364       ,321       ,348       ,336       ,249       ,325       
15332          ,6801           ,3444      ,3357      ,774       ,824       ,859       ,660       ,483       ,466       ,432       ,421       ,341       ,291       ,245       ,207       ,202       ,187       ,149       ,128       ,132       
15362          ,2373           ,1126      ,1247      ,165       ,170       ,177       ,161       ,163       ,146       ,132       ,126       ,153       ,188       ,161       ,145       ,137       ,99        ,72        ,73        ,105       
15367          ,7659           ,3880      ,3779      ,660       ,701       ,705       ,628       ,563       ,464       ,393       ,426       ,496       ,499       ,464       ,360       ,320       ,304       ,237       ,212       ,227       
15368          ,3956           ,2091      ,1865      ,325       ,337       ,333       ,366       ,322       ,271       ,245       ,222       ,212       ,185       ,166       ,155       ,172       ,173       ,159       ,154       ,159       
15377          ,5068           ,2633      ,2435      ,395       ,377       ,360       ,429       ,415       ,364       ,325       ,271       ,233       ,200       ,196       ,206       ,260       ,279       ,258       ,249       ,251       
15380          ,2499           ,1297      ,1202      ,173       ,182       ,193       ,191       ,186       ,129       ,93        ,118       ,142       ,168       ,158       ,152       ,143       ,127       ,112       ,103       ,129       
15401          ,1674           ,899       ,775       ,156       ,155       ,163       ,147       ,136       ,101       ,85        ,81        ,96        ,105       ,92        ,81        ,70        ,64        ,53        ,45        ,44        
15403          ,2435           ,1165      ,1270      ,175       ,194       ,208       ,188       ,182       ,151       ,128       ,111       ,133       ,168       ,149       ,139       ,141       ,105       ,76        ,76        ,111       
15407          ,16984          ,8494      ,8490      ,1289      ,1374      ,1460      ,1545      ,1294      ,1174      ,998       ,1138      ,1227      ,1204      ,1057      ,848       ,689       ,538       ,439       ,316       ,394       
15425          ,4827           ,2487      ,2340      ,421       ,409       ,394       ,405       ,389       ,323       ,259       ,252       ,284       ,260       ,280       ,227       ,223       ,196       ,176       ,149       ,180       
15442          ,7424           ,3939      ,3485      ,804       ,787       ,796       ,676       ,596       ,448       ,378       ,400       ,427       ,431       ,373       ,313       ,271       ,249       ,204       ,140       ,131       
15455          ,9779           ,4962      ,4817      ,747       ,778       ,778       ,837       ,747       ,648       ,558       ,584       ,606       ,645       ,607       ,563       ,446       ,390       ,303       ,246       ,296       
15464          ,4657           ,2313      ,2344      ,424       ,440       ,441       ,411       ,343       ,327       ,292       ,240       ,247       ,239       ,254       ,243       ,185       ,185       ,152       ,116       ,118       
15466          ,4985           ,2411      ,2574      ,443       ,460       ,459       ,469       ,391       ,363       ,267       ,257       ,293       ,295       ,307       ,242       ,180       ,168       ,133       ,120       ,138       
15469          ,21345          ,10711     ,10634     ,1821      ,1839      ,1805      ,1801      ,1702      ,1395      ,1098      ,1160      ,1313      ,1289      ,1250      ,1168      ,1011      ,859       ,710       ,525       ,599       
15476          ,8195           ,4158      ,4037      ,742       ,757       ,750       ,615       ,589       ,525       ,461       ,511       ,550       ,479       ,470       ,427       ,330       ,309       ,248       ,201       ,231       
15480          ,8914           ,4812      ,4102      ,830       ,842       ,897       ,888       ,684       ,522       ,444       ,468       ,566       ,575       ,499       ,445       ,390       ,321       ,204       ,186       ,153       
15491          ,16353          ,8101      ,8252      ,1350      ,1492      ,1634      ,1513      ,1312      ,1044      ,1001      ,1043      ,1004      ,1108      ,975       ,842       ,671       ,497       ,319       ,268       ,280       
15494          ,6602           ,3428      ,3174      ,600       ,616       ,622       ,569       ,434       ,344       ,382       ,391       ,397       ,451       ,364       ,322       ,306       ,251       ,210       ,169       ,174       
15500          ,2831           ,1465      ,1366      ,288       ,283       ,287       ,285       ,245       ,192       ,147       ,133       ,167       ,151       ,122       ,128       ,98        ,96        ,70        ,58        ,81        
15507          ,10671          ,5629      ,5042      ,1197      ,1166      ,1184      ,1113      ,890       ,640       ,605       ,627       ,677       ,628       ,530       ,424       ,303       ,246       ,182       ,152       ,107       
15511          ,2453           ,1337      ,1116      ,180       ,198       ,209       ,175       ,161       ,129       ,117       ,117       ,152       ,142       ,129       ,132       ,120       ,131       ,124       ,110       ,127       
15514          ,2867           ,1498      ,1369      ,285       ,290       ,295       ,291       ,250       ,215       ,170       ,169       ,154       ,171       ,127       ,120       ,103       ,77        ,63        ,39        ,48        
15516          ,31021          ,15209     ,15812     ,2594      ,2705      ,2789      ,2833      ,2358      ,2005      ,1885      ,2024      ,2146      ,2130      ,1918      ,1597      ,1188      ,929       ,708       ,596       ,616       
15518          ,1670           ,908       ,762       ,130       ,129       ,126       ,141       ,159       ,133       ,98        ,89        ,84        ,74        ,68        ,68        ,76        ,78        ,74        ,71        ,72        
15522          ,1452           ,753       ,699       ,105       ,105       ,113       ,111       ,104       ,104       ,104       ,85        ,88        ,92        ,70        ,66        ,65        ,69        ,61        ,50        ,60        
15531          ,10797          ,5891      ,4906      ,1049      ,1077      ,1097      ,997       ,855       ,663       ,615       ,620       ,680       ,625       ,492       ,434       ,414       ,373       ,287       ,253       ,266       
15533          ,2537           ,1378      ,1159      ,299       ,207       ,177       ,214       ,215       ,166       ,141       ,119       ,111       ,99        ,92        ,95        ,123       ,124       ,117       ,118       ,120       
15537          ,4618           ,2313      ,2305      ,386       ,417       ,436       ,436       ,358       ,307       ,287       ,306       ,320       ,309       ,268       ,220       ,164       ,132       ,100       ,83        ,89        
15542          ,7862           ,4033      ,3829      ,616       ,683       ,723       ,631       ,534       ,494       ,436       ,467       ,463       ,495       ,442       ,414       ,354       ,316       ,278       ,257       ,259       
15550          ,1323           ,681       ,642       ,160       ,131       ,95        ,109       ,105       ,91        ,62        ,71        ,71        ,62        ,63        ,52        ,51        ,38        ,41        ,54        ,67        
15572          ,55694          ,28390     ,27304     ,4895      ,5259      ,5615      ,5041      ,4382      ,3862      ,3617      ,3534      ,3727      ,3637      ,3414      ,2803      ,2041      ,1449      ,915       ,774       ,729       
15580          ,7776           ,4582      ,3194      ,614       ,639       ,706       ,698       ,555       ,453       ,386       ,463       ,512       ,594       ,535       ,469       ,351       ,295       ,214       ,176       ,116       
15599          ,9926           ,4949      ,4977      ,943       ,967       ,989       ,964       ,797       ,630       ,493       ,545       ,557       ,608       ,542       ,439       ,349       ,344       ,285       ,225       ,249       
15600          ,13682          ,7387      ,6295      ,1497      ,1621      ,1793      ,1620      ,1154      ,900       ,740       ,714       ,663       ,737       ,506       ,413       ,313       ,308       ,238       ,200       ,265       
15621          ,2796           ,1511      ,1285      ,254       ,240       ,239       ,278       ,212       ,184       ,159       ,133       ,123       ,135       ,142       ,155       ,135       ,116       ,106       ,83        ,102       
15632          ,12309          ,6226      ,6083      ,1141      ,1174      ,1190      ,1118      ,990       ,817       ,662       ,641       ,726       ,694       ,694       ,528       ,488       ,420       ,384       ,307       ,335       
15638          ,3780           ,1941      ,1839      ,395       ,400       ,408       ,370       ,308       ,278       ,222       ,224       ,207       ,211       ,186       ,148       ,122       ,105       ,72        ,60        ,64        
15646          ,20116          ,10380     ,9736      ,2075      ,2150      ,2198      ,1936      ,1627      ,1380      ,1378      ,1241      ,1301      ,1153      ,986       ,818       ,591       ,462       ,319       ,251       ,250       
15660          ,1867           ,999       ,868       ,185       ,189       ,191       ,189       ,163       ,140       ,112       ,112       ,103       ,115       ,85        ,77        ,64        ,47        ,38        ,27        ,30        
15664          ,5158           ,2753      ,2405      ,457       ,460       ,465       ,412       ,390       ,300       ,264       ,272       ,308       ,342       ,298       ,265       ,229       ,207       ,176       ,161       ,152       
15667          ,4996           ,2632      ,2364      ,436       ,449       ,463       ,437       ,373       ,324       ,276       ,286       ,275       ,293       ,263       ,237       ,210       ,211       ,176       ,149       ,138       
15673          ,3582           ,1902      ,1680      ,303       ,321       ,323       ,352       ,303       ,250       ,217       ,194       ,181       ,160       ,147       ,137       ,149       ,146       ,135       ,129       ,135       
15676          ,4548           ,2455      ,2093      ,422       ,425       ,440       ,391       ,370       ,278       ,232       ,232       ,262       ,293       ,254       ,220       ,183       ,162       ,139       ,123       ,122       
15681          ,10478          ,5621      ,4857      ,975       ,985       ,1018      ,906       ,843       ,637       ,541       ,538       ,605       ,677       ,583       ,503       ,422       ,379       ,321       ,282       ,263       
15686          ,7671           ,4004      ,3667      ,745       ,745       ,758       ,671       ,603       ,499       ,394       ,393       ,445       ,514       ,436       ,395       ,323       ,243       ,207       ,141       ,159       
15690          ,3918           ,2023      ,1895      ,370       ,366       ,368       ,362       ,308       ,270       ,248       ,208       ,237       ,227       ,248       ,187       ,168       ,114       ,84        ,69        ,84        
15693          ,13407          ,7194      ,6213      ,988       ,888       ,889       ,1461      ,1470      ,959       ,958       ,981       ,964       ,816       ,616       ,412       ,400       ,351       ,303       ,456       ,495       
15696          ,2658           ,1363      ,1295      ,235       ,235       ,241       ,228       ,191       ,158       ,120       ,117       ,130       ,173       ,149       ,129       ,116       ,121       ,105       ,89        ,121       
15720          ,2306           ,1260      ,1046      ,188       ,194       ,192       ,215       ,191       ,161       ,146       ,132       ,121       ,107       ,98        ,91        ,102       ,99        ,92        ,87        ,90        
15723          ,1094           ,533       ,561       ,80        ,89        ,96        ,84        ,84        ,69        ,59        ,52        ,61        ,80        ,67        ,64        ,59        ,44        ,31        ,31        ,44        
15740          ,8967           ,4709      ,4258      ,961       ,930       ,900       ,803       ,745       ,676       ,474       ,472       ,522       ,465       ,439       ,382       ,357       ,274       ,194       ,172       ,201       
15753          ,7069           ,3394      ,3675      ,509       ,556       ,582       ,574       ,537       ,474       ,362       ,346       ,373       ,424       ,464       ,421       ,399       ,333       ,248       ,201       ,266       
15755          ,7934           ,4203      ,3731      ,632       ,647       ,636       ,703       ,624       ,533       ,484       ,430       ,402       ,352       ,334       ,331       ,382       ,388       ,360       ,344       ,352       
15757          ,7092           ,3679      ,3413      ,609       ,659       ,697       ,555       ,523       ,469       ,443       ,471       ,423       ,419       ,360       ,332       ,297       ,245       ,204       ,185       ,201       
15759          ,112790         ,53518     ,59272     ,8090      ,8995      ,9935      ,9696      ,8592      ,7937      ,7505      ,7119      ,6876      ,7671      ,7560      ,6735      ,5311      ,3889      ,2702      ,2047      ,2130      
15761          ,3555           ,1798      ,1757      ,254       ,264       ,266       ,280       ,244       ,242       ,171       ,185       ,211       ,234       ,203       ,203       ,161       ,161       ,136       ,145       ,195       
15762          ,3027           ,1566      ,1461      ,324       ,322       ,313       ,276       ,253       ,211       ,207       ,168       ,157       ,153       ,121       ,132       ,112       ,104       ,64        ,55        ,55        
15763          ,7578           ,3884      ,3694      ,785       ,829       ,852       ,707       ,549       ,473       ,394       ,394       ,405       ,390       ,370       ,311       ,307       ,250       ,215       ,162       ,185       
15764          ,5279           ,2685      ,2594      ,527       ,527       ,514       ,489       ,400       ,355       ,302       ,291       ,307       ,294       ,280       ,248       ,219       ,187       ,128       ,103       ,108       
15774          ,3027           ,1618      ,1409      ,261       ,276       ,279       ,308       ,268       ,215       ,181       ,157       ,143       ,127       ,117       ,113       ,124       ,122       ,111       ,108       ,117       
15776          ,5890           ,3022      ,2868      ,489       ,512       ,523       ,537       ,415       ,381       ,354       ,376       ,375       ,402       ,325       ,278       ,253       ,227       ,163       ,121       ,159       
15778          ,4033           ,2035      ,1998      ,288       ,299       ,302       ,317       ,277       ,275       ,194       ,210       ,239       ,265       ,230       ,230       ,182       ,183       ,155       ,165       ,222       
15790          ,6296           ,3201      ,3095      ,551       ,601       ,636       ,489       ,437       ,415       ,384       ,393       ,350       ,371       ,311       ,289       ,284       ,236       ,212       ,149       ,188       
