Municipality   ,Population     ,Males     ,Females   ,0-4       ,5-9       ,10-14     ,15-19     ,20-24     ,25-29     ,30-34     ,35-39     ,40-44     ,45-49     ,50-54     ,55-59     ,60-64     ,65-69     ,70-74     ,75-79     ,80+       
19548          ,43714          ,22046     ,21668     ,4154      ,3919      ,3976      ,4183      ,4126      ,3636      ,3123      ,3032      ,2438      ,2376      ,2172      ,1820      ,1447      ,1111      ,882       ,668       ,651       
19573          ,45840          ,22161     ,23679     ,3982      ,3878      ,4041      ,4423      ,4551      ,3807      ,3293      ,3075      ,2997      ,2700      ,2501      ,2013      ,1510      ,1091      ,771       ,603       ,604       
19585          ,15269          ,7899      ,7370      ,1619      ,1461      ,1422      ,1665      ,1607      ,1283      ,1036      ,936       ,844       ,745       ,669       ,536       ,423       ,369       ,275       ,193       ,186       
19622          ,13386          ,7122      ,6264      ,1118      ,1062      ,1075      ,1139      ,1161      ,1009      ,1006      ,936       ,762       ,756       ,707       ,643       ,573       ,452       ,381       ,290       ,316       
19693          ,14054          ,7776      ,6278      ,1111      ,1063      ,1092      ,1282      ,1794      ,1239      ,1070      ,913       ,762       ,725       ,657       ,584       ,505       ,412       ,338       ,256       ,251       
19698          ,95041          ,46712     ,48329     ,8156      ,8062      ,8343      ,9171      ,9200      ,7923      ,7065      ,6685      ,5980      ,5248      ,4878      ,4104      ,3302      ,2451      ,1782      ,1360      ,1331      
19701          ,10587          ,5371      ,5216      ,1246      ,1099      ,1103      ,1068      ,940       ,826       ,728       ,648       ,548       ,510       ,465       ,359       ,316       ,263       ,196       ,145       ,127       
19743          ,32315          ,16490     ,15825     ,3443      ,3140      ,3148      ,3543      ,3240      ,2609      ,2154      ,2022      ,1738      ,1558      ,1327      ,1141      ,992       ,809       ,617       ,444       ,390       
19760          ,17124          ,8925      ,8199      ,1479      ,1406      ,1439      ,1603      ,1594      ,1322      ,1319      ,1200      ,1060      ,990       ,837       ,755       ,547       ,463       ,414       ,347       ,349       
19780          ,18610          ,9700      ,8910      ,2038      ,1930      ,1941      ,2009      ,1798      ,1460      ,1187      ,1095      ,905       ,783       ,745       ,721       ,642       ,500       ,338       ,272       ,246       
19785          ,8891           ,4607      ,4284      ,765       ,737       ,763       ,800       ,800       ,721       ,682       ,602       ,512       ,495       ,452       ,397       ,340       ,272       ,222       ,165       ,166       
