"id","dept","muni","mpios"
"141","CORDOBA","CIENAGA DE ORO","23189"
"142","BOLIVAR","HATILLO DE LOBA","13300"
"143","CORDOBA","SAHAGUN","23660"
"144","BOLIVAR","EL PEON","13268"
"145","BOLIVAR","SAN MARTIN DE LOBA","13667"
"146","CORDOBA","LOS CORDOBAS","23419"
"147","CORDOBA","CERETE","23162"
"148","BOLIVAR","BARRANCO DE LOBA","13074"
"149","CORDOBA","MONTERIA","23001"
"150","SUCRE","CAIMITO","70124"
"151","ANTIOQUIA","ARBOLETES","05051"
"152","CESAR","PELAYA","20550"
"153","SUCRE","LA UNION","70400"
"154","CORDOBA","SAN CARLOS","23678"
"155","CORDOBA","CANALETE","23090"
"156","NORTE DE SANTANDER","EL TARRA","54250"
"157","BOLIVAR","ALTOS DEL ROSARIO","13030"
"158","BOLIVAR","REGIDOR","13580"
"159","ANTIOQUIA","SAN JUAN DE URABA","05659"
"160","BOLIVAR","ACHI","13006"
"161","CESAR","LA GLORIA","20383"
"162","SUCRE","MAJAGUAL","70429"
"163","SUCRE","SAN MARCOS","70708"
"164","ANTIOQUIA","NECOCLI","05490"
"165","BOLIVAR","RIO VIEJO","13600"
"166","CHOCO","ACANDI","27006"
"167","BOLIVAR","TIQUISIO","13810"
"168","ANTIOQUIA","SAN PEDRO DE URABA","05665"
"169","CORDOBA","PUEBLO NUEVO","23570"
"170","NORTE DE SANTANDER","SAN CALIXTO","54670"
"171","CORDOBA","PLANETA RICA","23555"
"172","SUCRE","GUARANDA","70265"
"173","CESAR","AGUACHICA","20011"
"174","CORDOBA","AYAPEL","23068"
"175","NORTE DE SANTANDER","HACARI","54344"
"176","CESAR","GAMARRA","20295"
"177","BOLIVAR","MORALES","13473"
"178","BOLIVAR","MONTECRISTO","13458"
"179","CESAR","GONZALEZ","20310"
"180","NORTE DE SANTANDER","SARDINATA","54720"
"181","ANTIOQUIA","TURBO","05837"
"182","CORDOBA","VALENCIA","23855"
"183","NORTE DE SANTANDER","CUCUTA","54001"
"184","NORTE DE SANTANDER","OCAA","54498"
"185","BOLIVAR","SAN JACINTO DEL CAUCA","13655"
"186","NORTE DE SANTANDER","PUERTO SANTANDER","54553"
"187","CHOCO","UNGUIA","27800"
"188","CORDOBA","BUENAVISTA","23079"
"189","CORDOBA","TIERRALTA","23807"
"190","NORTE DE SANTANDER","LA PLAYA","54398"
"191","CESAR","RIO DE ORO","20614"
"192","BOLIVAR","ARENAL","13042"
"193","NORTE DE SANTANDER","EL ZULIA","54261"
"194","NORTE DE SANTANDER","ABREGO","54003"
"195","ANTIOQUIA","NECHI","05495"
"196","NORTE DE SANTANDER","BUCARASICA","54109"
"197","CORDOBA","MONTELIBANO","23466"
"198","ANTIOQUIA","EL BAGRE","05250"
"199","BOLIVAR","SIMITI","13744"
"200","CORDOBA","LA APARTADA","23350"
"201","SANTANDER","PUERTO WILCHES","68575"
"202","BOLIVAR","SANTA ROSA DEL SUR","13688"
"203","CESAR","SAN MARTIN","20770"
"204","NORTE DE SANTANDER","VILLA CARO","54871"
"205","ANTIOQUIA","APARTADO","05045"
"206","ANTIOQUIA","CAUCASIA","05154"
"207","CESAR","SAN ALBERTO","20710"
"208","NORTE DE SANTANDER","LOURDES","54418"
"209","NORTE DE SANTANDER","GRAMALOTE","54313"
"210","ANTIOQUIA","CACERES","05120"
"211","CORDOBA","PUERTO LIBERTADOR","23580"
"212","NORTE DE SANTANDER","SANTIAGO","54680"
"213","NORTE DE SANTANDER","SAN CAYETANO","54673"
"214","CHOCO","RIOSUCIO","27615"
"215","ANTIOQUIA","CAREPA","05147"
"216","NORTE DE SANTANDER","SALAZAR","54660"
"217","NORTE DE SANTANDER","VILLA DEL ROSARIO","54874"
"218","NORTE DE SANTANDER","CACHIRA","54128"
"219","NORTE DE SANTANDER","DURANIA","54239"
"220","NORTE DE SANTANDER","LOS PATIOS","54405"
"221","NORTE DE SANTANDER","LA ESPERANZA","54385"
"222","ANTIOQUIA","CHIGORODO","05172"
"223","ANTIOQUIA","TARAZA","05790"
"224","NORTE DE SANTANDER","BOCHALEMA","54099"
"225","SANTANDER","RIONEGRO","68615"
"226","NORTE DE SANTANDER","ARBOLEDAS","54051"
"227","ANTIOQUIA","ZARAGOZA","05895"
"228","SANTANDER","SABANA DE TORRES","68655"
"229","NORTE DE SANTANDER","CHINACOTA","54172"
"230","NORTE DE SANTANDER","RAGONVALIA","54599"
"231","SANTANDER","SURATA","68780"
"232","NORTE DE SANTANDER","CUCUTILLA","54223"
"233","SANTANDER","EL PLAYON","68255"
"234","NORTE DE SANTANDER","PAMPLONITA","54520"
"235","NORTE DE SANTANDER","HERRAN","54347"
"236","BOLIVAR","SAN PABLO","13670"
"237","SANTANDER","CALIFORNIA","68132"
"238","CHOCO","JURADO","27372"
"239","ANTIOQUIA","SEGOVIA","05736"
"240","SANTANDER","VETAS","68867"
"241","NORTE DE SANTANDER","TOLEDO","54820"
"242","SANTANDER","MATANZA","68444"
"243","BOLIVAR","CANTAGALLO","13160"
"244","NORTE DE SANTANDER","PAMPLONA","54518"
"245","ANTIOQUIA","ANORI","05040"
"246","ANTIOQUIA","VALDIVIA","05854"
"247","ANTIOQUIA","ITUANGO","05361"
"248","SANTANDER","LEBRIJA","68406"
"249","NORTE DE SANTANDER","LABATECA","54377"
"250","NORTE DE SANTANDER","MUTISCUA","54480"
"251","SANTANDER","CHARTA","68169"
"252","NORTE DE SANTANDER","CACOTA","54125"
"253","NORTE DE SANTANDER","SILOS","54743"
"254","ANTIOQUIA","AMALFI","05031"
"255","ANTIOQUIA","YONDO","05893"
"256","SANTANDER","GIRON","68307"
"257","ANTIOQUIA","REMEDIOS","05604"
"258","SANTANDER","TONA","68820"
"259","ANTIOQUIA","YARUMAL","05887"
"260","NORTE DE SANTANDER","CHITAGA","54174"
"261","SANTANDER","BUCARAMANGA","68001"
"262","SANTANDER","BARRANCABERMEJA","68081"
"263","ANTIOQUIA","BRICEO","05107"
"264","ANTIOQUIA","PEQUE","05543"
"265","ANTIOQUIA","DABEIBA","05234"
"266","ANTIOQUIA","CAMPAMENTO","05134"
"267","SANTANDER","SAN VICENTE DE CHUCURI","68689"
"268","SANTANDER","FLORIDABLANCA","68276"
"269","SANTANDER","BETULIA","68092"
"270","SANTANDER","PIEDECUESTA","68547"
"271","ANTIOQUIA","TOLEDO","05819"
"272","ARAUCA","ARAUCA","81001"
"273","SANTANDER","SANTA BARBARA","68705"
"274","ANTIOQUIA","SABANALARGA","05628"
"275","ARAUCA","SARAVENA","81736"
"276","ARAUCA","ARAUQUITA","81065"
"277","SANTANDER","GUACA","68318"
"278","ANTIOQUIA","URAMITA","05842"
"279","BOYACA","CUBARA","15223"
"280","ANTIOQUIA","MURINDO","05475"
"281","ANTIOQUIA","SAN ANDRES","05647"
"282","ANTIOQUIA","CAASGORDAS","05138"
"283","SANTANDER","CERRITO","68162"
"284","SANTANDER","ZAPATOCA","68895"
"285","ANTIOQUIA","BURITICA","05113"
"286","ANTIOQUIA","VEGACHI","05858"
"287","ANTIOQUIA","ANGOSTURA","05038"
"288","ANTIOQUIA","GUADALUPE","05315"
"289","SANTANDER","SIMACOTA","68745"
"290","SANTANDER","SAN ANDRES","68669"
"291","ANTIOQUIA","FRONTINO","05284"
"292","ANTIOQUIA","SAN JOSE DE LA MONTAA","05658"
"293","ANTIOQUIA","GOMEZ PLATA","05310"
"294","SANTANDER","CONCEPCION","68207"
"295","SANTANDER","LOS SANTOS","68418"
"296","CHOCO","BOJAYA","27099"
"297","SANTANDER","EL CARMEN DE CHUCURI","68235"
"298","ANTIOQUIA","SANTA ROSA DE OSOS","05686"
"299","SANTANDER","PUERTO PARRA","68573"
"300","ARAUCA","FORTUL","81300"
"301","ANTIOQUIA","VIGIA DEL FUERTE","05873"
