"k","k_scale","rho","dispersion","tm_ini","loc_ini","tm_ini2","loc_ini2","sn1","sn2","sn3"
215.043351751556,1.54521797241105,0.00647554989734654,0.778141779126599,64,26,136,11,28.4602976508454,3.50777707243671,-0.30136236992239
262.248917677037,2.95067797971352,0.0691685332501462,0.0990796263795346,68,30,57,22,27.8907319684127,3.15885295212444,-0.0522639054724359
192.292532052897,2.34013145168219,0.841595261225302,0.445051710354164,53,29,113,3,28.4853985281464,3.59821357414165,-0.332241367248126
191.342757956411,2.09549735916201,0.00603566603923987,0.388492168858647,78,23,121,23,30.1503512520734,3.90765583486913,-1.09904749209846
249.208698736665,1.65119768227147,0.530878825054398,0.191217694431543,82,8,108,21,27.4150226936162,3.03866119078158,0.23423456880238
262.381046158482,3.74362569470945,0.000663190813160816,0.0148226586170495,72,8,56,13,27.3906362964908,3.47250555356872,-0.0892865070395681
166.12521143322,3.19368166997767,0.021591364841224,0.83108279062435,69,7,58,28,28.9831989911077,2.9839623110418,-0.269548373784121
175.204352736741,1.15815464848719,0.03819223271476,0.0991191412322223,79,7,136,10,27.6124662230035,2.96547903697706,0.0835297851473901
320.047657403111,2.16110813092684,0.0574971186625987,0.65097532906033,51,22,74,27,26.9358678102733,3.13986059542022,0.23488998398623
228.216222827932,0.503564161513276,0.148248570240619,0.639663146575913,56,13,58,5,27.4566494430835,3.56079793676653,-0.238938777517297
251.615077120044,2.51588348567204,0.00411031592417887,0.156341544690567,83,19,86,24,29.631466929591,3.83910185984839,-0.968708112187321
227.744712006231,6.53070933191032,0.000475957492333872,0.0224507551174611,56,23,74,25,27.7537797430663,3.26811032696752,-0.0445364075812304
306.389653624442,1.01591535740266,0.00130494834776928,0.0924719970207661,55,21,59,7,28.0114242499007,3.44877994564817,-0.110159824608561
172.532688481261,0.684195640631772,0.152398686037258,0.475894911913201,63,18,132,2,28.4513229825109,3.37599274470697,-0.344562488293467
212.04719178921,0.974101202228427,0.034790046494231,0.618890855461359,81,6,55,17,26.9388139353779,2.9702124240302,0.390898834070782
387.456189920077,1.97312050826242,0.223258499926303,0.324115501716733,77,28,137,12,27.3325519309027,3.1072851456983,0.216164697702643
221.522205048644,2.49739230676786,0.318234284901435,0.387641017325222,72,9,90,18,29.0209417410711,3.69654345808647,-0.700780332265604
