"k","rho","dispersion","tm_ini","tm_ini2"
1.16596328825672,0.0741126350682555,0.253223238745704,83,59
2.74801750716952,0.48144953053285,0.0755330212414265,86,134
2.91874379501512,0.0147615382931054,0.223895050993934,76,122
4.01057726763833,0.123516740606761,0.701913407770917,60,105
2.06052002365466,0.131038203180883,0.673345532501116,62,112
1.78423158679965,0.921515586794964,0.513859472004697,82,127
3.47284865392833,0.526113315198544,0.884761780034751,88,139
5.03366260986746,0.404128700180704,0.0673844467382878,90,104
3.83873927985069,0.0212177739523089,0.788698823424056,57,142
0.991117075329027,0.0934377450608037,0.0204109698534012,89,76
3.74433324748886,0.0564142522880093,0.281278198119253,80,135
2.71909492220877,0.0168763232448452,0.0445343009196222,92,110
3.91458851001185,0.396972391850981,0.636305261403322,76,57
2.51098223945237,0.371435004062031,0.716418222058564,57,60
4.05503598632038,0.00162620299245197,0.323301262687892,92,141
1.05755642423391,0.336679718733308,0.0742707103490829,74,116
0.888870134144667,0.678936742114928,0.0362502934876829,80,137
5.55219986841229,0.13823269930271,0.742562620900571,74,104
4.3147906706186,0.0320275491449404,0.420033649774268,64,97
2.69818765518239,0.305818174489843,0.991485301405191,70,91
4.18273299732584,0.0190153278399295,0.0137570567894727,69,136
2.85019603923247,0.291803144604959,0.778153759194538,67,90
4.14830650870494,0.280804444507836,0.347238441696391,88,92
3.96825751615429,0.00277588912232985,0.28631295915693,75,57
3.03633910555231,0.166899234160739,0.539562355697281,75,102
3.84403338210712,0.0211782729536732,0.224530235790395,78,64
1.4652602294174,0.488661578378414,0.0312635945156217,92,127
2.50005993482801,0.189707436568878,0.325440091080964,73,125
4.48694412454523,0.235167429332477,0.173935789614916,80,83
3.57287590768921,0.30915522857072,0.525551635073498,59,142
5.1191806421266,0.0645865083516714,0.753212550887838,74,57
2.27673145698095,0.0782285480627947,0.644749085884541,58,122
2.30887090812053,0.104681155260992,0.160216486524528,70,74
2.30216890217013,0.450890232046629,0.965176915051416,62,59
2.46781774101131,0.423907397976784,0.248379315948114,80,127
3.95337610838588,1.68052714383981e-07,0.42751520103775,74,113
2.05185554444645,0.345354373223582,0.287720190826803,82,139
5.97986022072215,0.11177634488251,0.182465267600492,61,111
2.22904475073136,0.952832745638766,0.717987776221021,83,142
6.7043150492261,0.0223742653232452,0.398804853865171,64,137
3.06670703437564,0.235750989110624,0.799048062646762,66,89
4.17486262904702,0.179169087595486,0.967504987958819,62,121
10.6494245378965,0.225571386923367,0.378398350905627,80,84
2.65435438663102,0.307589598673915,0.080289250794945,61,84
3.85972659650511,0.014806105085261,0.166739621898159,63,64
2.81974262421455,0.226301819264573,0.13062422350049,80,70
3.47124185806475,0.53376823799912,0.979960281867534,63,80
2.8695635019893,0.382156313071341,0.0574143999256194,73,62
5.79315239460839,0.733588013826345,0.922234799480066,58,134
3.93232796323817,0.059370874449248,0.908285239478573,62,110
4.00331028404458,0.0626866014556038,0.526192301884294,59,73
3.35439768038609,0.0298166497458052,0.485893159871921,71,99
2.49517621081641,0.181776079739689,0.696971885627136,66,129
2.7161110417873,0.0302703064773432,0.778028111672029,69,96
5.68629745533349,0.720768168016045,0.990501598687842,77,80
1.89037957757343,0.0109921727582294,0.334907709778789,66,71
1.77792601283878,0.523364256605014,0.51726920879446,65,135
2.77410222382024,0.0658738674261633,0.0736253402754995,65,83
4.43570374947317,0.11614011394988,0.302634813589975,70,102
1.93655661354375,0.00107750550402952,0.241687661735341,62,70
2.7987298793385,0.143549588771188,0.24120929162018,87,136
3.75700061365027,0.069072845092898,0.51580338133499,70,65
2.96210975198226,0.252027804545672,0.265434449771419,62,131
3.48309356745748,0.0540797124335966,0.219680985901505,61,140
1.57321856290558,0.00285433953995469,0.149674388580024,83,101
7.43533970648893,0.0778279865668519,0.111189454242013,85,138
3.80499227085208,0.10707862339011,0.897377013694495,58,106
4.65714308525608,0.0631628384165406,0.066702829208225,89,77
2.04464127675175,0.73367930879511,0.996863490436226,57,58
1.66197624234985,0.771362605316051,1.08037969665232,69,115
3.25211617521936,0.0161960124358132,0.292520075803623,80,138
5.36219208419188,0.80879365558046,0.760857251938432,84,128
4.01598694894733,0.800593769475373,0.224988987203687,79,123
2.30723115006695,0.454377840107421,0.385109444381669,70,136
1.06678540856688,0.650597627370725,0.0885149145033211,90,89
6.36386313842715,0.11038902469757,0.679136390332133,88,72
2.56299088854543,0.224552471239719,0.597961198305711,80,94
5.75494530426935,0.0612025452803927,0.877328760223463,69,108
2.48917948765952,0.100023865938905,0.144335946068168,61,114
4.56982476160814,0.0136842825195636,0.204515497200191,70,63
3.04861897362971,0.0160385782571153,0.0889758579432964,63,141
5.10923042888555,0.732067536125721,0.688193940091878,65,98
3.46553262959753,0.356667139597554,0.297483366914093,66,94
1.19659851658943,1.12369639175164e-07,0.0139508976135403,78,62
5.9538540068973,0.239880545388111,0.606332103023306,73,121
1.50306970740889,0.0178097914080442,0.166299948235974,92,62
2.53318036684209,0.0628760874157982,0.183339142706245,86,89
3.42679724174023,0.0172750939448994,0.964246673043817,79,75
3.06670703437564,0.235750989110624,0.799048062646762,66,89
1.65049975628691,0.106339057864673,0.982423371169716,65,82
5.066883617464,0.0659703241524753,0.426166041055694,72,135
1.44053545150982,0.050762811886208,0.14112296118401,85,69
3.89179446464099,0.518129013381404,0.820793112972751,86,140
2.42579530824183,0.0585456594649898,0.427305763587356,64,57
2.38477175472239,0.0806121276384779,0.353109313175082,58,127
4.3010466539248,0.142186735012341,0.502394545823336,65,121
2.97714956634601,0.0583488699549885,0.711355687817559,92,92
4.79600998629522,0.284850734385455,0.677561522228643,81,64
5.57306846038706,0.10730057386512,0.246624719118699,71,90
3.99359168778103,0.0708705639599748,0.22275876486674,89,114
3.36831495430617,0.00760375482986156,0.18883825163357,81,61
4.4353055472681,0.0389826088639596,0.259958858601749,63,100
7.50667938571424,0.340583195528346,0.651644264115021,88,63
4.81880071520535,0.591733929942775,0.247196993557736,66,58
2.3594392819181,0.0422754772731437,0.357907298073475,59,96
6.85738435557214,0.421655057438835,0.820006730733439,58,71
5.3571862723899,0.543612723970205,0.139697875129059,74,103
3.22958823345092,0.186856050064154,0.651306829182431,61,110
3.86884730785989,0.0894004975663023,0.139986756723374,64,138
4.90623136469162,0.875420025573048,0.246683061588556,73,123
4.07266004294323,0.0370946354579272,1.7114833702494,65,113
2.76117687561279,0.184897942935723,0.594528811052442,83,58
3.0019448380579,0.251999470401467,0.247965733287856,59,95
0.936938589645212,0.00355263392110361,0.0645652923267335,71,122
2.64655313451822,0.127780683658954,0.949323354288936,75,101
2.21376739392508,0.372643650647893,0.387682655826211,79,137
2.99768322931825,0.242813312793536,0.997071816353127,75,89
2.71610662946273,0.183946864985155,0.58357405303706,59,120
3.63556775820352,0.72338927089536,0.0608508806564681,86,129
3.51440503484976,0.000906815872640414,0.404056382831186,58,123
2.31829271052356,0.354134764013397,0.372232432942837,72,90
4.06025502036239,0.102545575854422,0.129017714876682,89,108
2.00078844479139,0.525686869840101,0.512607521610335,89,120
3.56788216772474,0.00222800905252695,0.0827369238922955,58,115
5.9547242166337,0.044758226877266,0.100048865424469,62,82
5.55219986841229,0.13823269930271,0.742562620900571,74,104
2.7674865498429,0.155767407951367,0.860249710734934,57,105
3.32636748455089,0.274770636903749,0.0224140842910856,77,59
2.49102733338294,0.767391651686197,0.965862460900098,72,129
7.49937306157786,0.422736705902841,0.550018084002659,69,105
2.98677063180333,0.162715529155567,0.312076356029138,78,138
0.674670090124572,0.0149969203617448,0.439282241975889,66,101
3.86180571024439,0.0991561294024794,0.573907698970288,82,104
3.53287014073014,0.434040805707405,0.989077004371211,87,63
3.45288853054921,0.673128612436894,0.288140903692693,73,103
4.91172391969709,0.240741876914837,0.289170191856101,81,120
5.8041789997541,0.148003283362294,0.0108922354411334,65,118
2.97559649071542,0.342225905601094,0.43002386437729,67,85
5.31231381658614,0.204030221140589,0.572298136074096,90,143
2.654474655351,0.0850858335792772,0.969312171684578,75,111
2.65253024907517,0.404424762082092,0.525749254506081,65,108
1.78147433059899,0.269113146866842,0.551573781529441,64,105
1.29604636497879,0.656959048189432,0.372544127749279,58,125
2.89283552951497,0.0118947830345194,0.0744307183194906,91,142
1.4131285729053,0.298593955794778,0.844327134778723,76,82
2.75367404515166,0.213878988966172,0.379964471096173,64,91
6.59748963187557,0.487829194229778,0.235251915175468,85,66
0.959607126168837,0.0189757470396383,0.330959521932527,82,130
2.83411211982894,0.669723602334407,0.377145168371499,69,119
3.51474399621765,0.124363420546909,0.517638115445152,63,102
12.3688702122443,0.396486173203507,0.502492975210771,70,65
1.82222724798068,0.00134390856225189,0.366299245273694,91,82
6.65069574778011,0.320185138527082,0.853397920029238,88,62
2.3594392819181,0.0422754772731437,0.357907298073475,59,96
2.78839019866384,0.0441057065303884,0.149002707796171,80,125
7.91148619180863,0.136917930255359,0.386386716039851,78,102
3.24607382287633,0.0458468271598111,0.67729178769514,60,60
5.53586890042218,0.620156864670221,0.726254737470299,57,102
1.93614377864672,0.745077624270181,0.652395207900554,79,117
3.6542537596304,0.0126233346227055,0.152633112622425,75,116
3.84745039215616,0.289658244947306,0.270690062316135,65,111
5.31636812452968,0.618697076399948,0.0159062976017594,85,112
10.3696600887609,0.265556845926474,0.945429564173624,75,74
4.46768061907264,0.0180847879960915,0.383583805058151,77,77
2.01756763931558,0.836810237722778,0.443534757010639,83,87
5.77446644192663,0.661119667064274,0.19455147953704,61,139
3.86818033191319,0.160002110303731,0.981691857799888,63,104
3.78965608451138,0.507681075694705,0.242986387806013,62,73
3.69287154022449,0.181457499573117,0.602140352129936,85,99
0.91374164424964,0.494232791399014,0.203755142632872,78,143
2.40238635909259,0.0831266461880063,0.209728346439078,68,96
3.52118056220417,0.0544843220824589,0.542502092896029,80,138
8.61205986270282,0.00707745251376861,0.577223147265613,84,127
3.17861975834152,0.0779649643454438,0.122151905205101,65,71
3.57287590768921,0.30915522857072,0.525551635073498,59,142
5.32068096839399,0.0173257005835931,0.0552505454979837,88,74
4.30521549271045,0.346709210906596,0.479701732983813,88,142
4.32784609832112,0.00348429330923502,0.0304702853318304,66,135
4.52498198100118,0.0388569486598617,0.0253615085966885,69,95
1.83388207590581,0.000540823631448263,0.705545206554234,88,126
4.14866073742018,0.583602428545422,0.124498018529266,77,101
4.51894132443976,0.200547420960567,0.964673507027328,86,137
3.15145261877364,0.326749224009473,0.590176591649652,84,137
1.45466872296453,0.337199670800493,0.0404595034400363,58,92
0.694253992302742,0.00870478876273847,0.0241125600878149,86,66
3.72462616308982,0.313912883717128,0.203651084331796,68,139
3.43024482095539,0.0147045523243628,0.496151259867474,59,89
3.60187674170344,0.0525484626360447,0.677134320838377,73,143
1.73609763321319,0.0209172694558387,0.324267655611038,92,137
4.51546875726409,0.205782459716622,0.287185260490868,72,106
3.93817483179169,0.0611849607848435,0.189699849812314,82,57
1.85943982727299,0.454516667823291,0.47765953396447,57,137
4.63301700291889,0.159783384324741,0.874593364307657,76,116
1.54821777811284,0.855373492116545,0.502275506591986,89,140
4.5424888670631,0.12622592909,0.0702605100814253,85,104
2.02946854413853,0.55407481599395,0.671831180108711,88,66
6.11287384933141,0.0066863126279463,0.839515190105885,70,112
3.65437670383213,0.0631054452824695,0.27747264993377,88,127
3.48677157201181,0.533107133564708,0.740521833999082,84,57
1.33316148380986,0.102601553885514,0.0560674988664687,86,106
3.83795813318716,0.676217577304225,0.243942633271217,57,122
5.66883016444346,0.0172901923547316,0.656641316832975,86,120
1.78657834698989,0.18733661634935,0.0215680315375282,79,76
3.60951883476117,0.123574236354132,0.57777108089067,91,57
2.25206649808479,0.0224868045886137,0.275629001902416,69,115
3.23751587591872,0.00263967080607135,0.399889161577448,68,62
2.45707108411205,0.108536707361196,0.29611773812212,61,67
5.57981814719519,0.39232528499748,0.655386618571356,72,57
3.49105178419296,0.696207664902252,0.948470520088449,58,70
2.51464379381902,0.150950064277257,0.128505808342865,67,96
3.78806009280058,0.125988891828626,0.821193806128576,62,132
