"k","rho","dispersion","tm_ini","loc_ini","tm_ini2","loc_ini2"
3.59885942289667,0.0950971273902311,0.293637523427606,58,16,142,19
5.21263626332771,0.242072338099949,0.547730082646012,76,16,55,30
4.75933912182318,0.013460526588201,0.12930581974797,80,1,101,2
1.7779762706616,0.00692138936240091,1.1763089380771,67,5,73,15
0.634595416501319,0.381138458470137,0.831274586729705,71,12,129,24
5.81115620988852,0.0409836024578841,0.689720840426162,76,4,112,18
2.34403645821212,0.556300047800099,0.581727710297094,54,10,72,23
1.21936374851401,0.251744417133379,0.375690869055688,82,6,113,8
0.866399802259946,0.113362678375982,0.252204194199294,63,20,53,23
0.849541002948015,0.306399378413804,0.158208206295967,63,9,69,2
1.20436939780494,0.271372636734494,0.906606659758836,69,18,62,32
0.424212941809302,0.0565469551211901,0.960065293358639,72,23,105,28
2.46296358197175,0.277006997040181,0.0554129062057586,51,7,114,6
0.960766752916413,0.220874466823992,0.652836240595207,68,30,86,26
2.65556528793422,0.389895845092107,0.492645340273157,79,20,52,11
3.35783158013863,0.000544371740585491,0.939799720188603,79,14,84,29
0.592725594087319,0.122682750193224,0.971660683397204,55,20,50,28
2.48733568122463,0.16375942522084,0.385188505519181,73,16,87,5
2.5650354854074,0.00261916744627982,0.392498245229945,59,13,129,23
4.35530106366216,0.00957533326109739,0.0370437370147556,56,22,92,2
1.25284353188108,0.367494840442482,0.314471290679649,54,4,134,29
1.84482589537698,0.0337399355652503,0.887500062119216,62,8,134,21
2.19705862897447,0.0382031019329082,0.893748025875539,60,22,79,8
1.92712924960481,0.079954675746499,0.72270857100375,81,8,86,8
1.85276250807869,0.000823285916119064,0.570884871762246,51,32,63,25
0.662071346763619,0.502785249336192,0.702611779095605,80,10,54,9
3.22136544288638,0.05638027381135,0.27130640600808,73,12,96,26
1.21256611483836,0.0156274037638898,0.141293631494063,64,15,126,14
1.62957607211607,0.326848774864035,0.481176774250343,53,30,108,15
3.56543620689522,0.0528856783665291,0.504641076317057,78,22,56,26
4.22391999270994,0.0545814957081818,0.380121773574501,82,7,80,14
3.4130429703076,0.576279758979959,0.367417264031246,68,17,76,17
2.58840171516667,0.0449388715932744,0.741135969525203,76,12,89,10
3.22439742855975,0.417921192215846,0.270315502304584,68,19,127,30
2.68650448520755,0.237842403375613,0.928525507279414,64,16,120,32
1.68872802363509,0.00350202617157553,0.395166022490276,72,32,132,12
10.9246051448338,0.00487991960566174,0.245897657005116,81,10,56,20
1.16966098071771,0.158679382168368,0.310548277106136,60,22,79,29
2.21767376081167,0.304891051949135,0.689597069518641,60,13,68,31
1.74187151847191,0.441213425825778,0.320734343957156,74,25,86,17
3.94547279954013,0.250872198187259,0.403005407191813,82,21,109,5
0.219147001819596,0.00601181848158072,0.201756979571655,52,4,51,28
5.01454411265133,0.000453359468361475,0.864768932573497,68,32,131,18
2.31066498394651,0.335296949222673,0.321785491891205,56,27,84,13
0.85344029107977,0.0159003752923082,0.507890264736488,59,5,72,11
1.49163541427918,0.340912498688388,0.0490986246149987,54,27,52,27
3.77111115584713,0.000935388558038318,0.0752010711003095,80,10,143,12
2.49637385180602,0.0320754413689366,0.58684855257161,60,22,58,3
1.65202665959218,0.100061523399313,0.668644260847941,83,4,102,1
2.99619543440319,0.147460345145804,0.854942647041753,52,31,70,18
1.50209725459401,0.185610129343859,0.63821175834164,63,11,97,14
5.6566575436766,0.0494834487562117,0.557522991672158,61,17,55,13
2.86074071263108,0.571478210086375,0.495102325687185,74,9,123,31
4.31456407798874,0.667756772354221,0.941439890040393,74,1,141,26
1.20481346960843,0.402397056474851,0.968101655133069,78,28,125,29
0.554887976196388,0.0201685591998309,0.954792300937697,69,12,119,18
7.5800624612304,0.161698155665102,0.800899687688798,59,18,120,7
0.323741734926518,0.00366797485145451,0.223584363469854,78,31,64,26
2.0541087980279,0.151477026140336,0.907964069861919,69,8,65,3
1.02684487833274,0.54280861680203,0.799762913025916,73,32,143,12
1.49117665102704,0.00120371681315148,0.741443942533806,58,1,127,3
1.36119506672207,0.488432058698134,0.60282642650418,51,13,112,7
3.20190815171547,0.00458159128668261,0.892837095307186,80,3,71,17
2.60745714267353,0.0618073621307593,0.989901822758839,72,26,126,1
2.53069667383584,0.0847927758038589,0.254328345414251,53,13,125,11
2.61609687815022,0.00274003032218082,0.4106524894014,80,30,119,10
4.52670711268555,0.256713811713453,0.818488497519866,62,31,67,30
8.98418669866419,0.0106392604873263,0.604448728030547,60,13,113,30
2.96898351449834,0.17464402515583,0.973911096807569,76,6,59,10
8.45768856767558,0.00457512032095126,0.972798945382237,60,32,106,5
2.88883604749416,0.0398120574216345,0.18311316659674,67,31,57,28
0.973134308186572,0.132074444423928,0.419192881556228,67,32,90,29
3.61679914440761,0.0241000150196555,0.782026866683736,83,15,76,18
4.81424578221888,0.184989128736591,0.470657351892442,71,23,103,26
4.80354064001579,0.00393033429376036,0.492428111378103,57,11,51,5
5.68628219368473,0.0282179806873099,0.655228900723159,79,10,124,13
5.64210396058633,0.0999222922331013,0.352541363332421,77,32,138,22
1.15283800433255,0.224926005646128,0.873770718462765,66,22,109,18
1.87999316144124,0.521714605949877,0.755526037653908,60,17,68,29
1.77790195927925,0.0101990860701746,0.280412302352488,76,16,118,14
0.588965988037012,0.00676315916651557,0.461776428157464,75,10,57,3
0.580191596690544,0.218942603396189,0.981662341626361,74,3,82,30
0.554887976196388,0.0201685591998309,0.954792300937697,69,12,119,18
1.03104598069939,0.0346369620868427,0.732128785457462,74,26,126,24
2.9256079311102,0.270635980039174,0.989921098574996,83,23,111,29
1.83010816515429,0.00887762096027943,0.772656139917672,62,23,129,29
1.76002982161894,5.33801409383125e-06,0.923090419732034,69,3,104,3
1.76467420637365,0.518202166435767,0.425110445357859,64,25,134,25
3.34901708714207,0.0828122358255889,0.775684372987598,67,31,113,13
0.544015857313166,0.508143026560814,0.312867416431924,59,31,71,30
3.20151055802345,0.328926303992522,0.771948612993583,71,19,50,12
0.4752319294057,0.0225471031103249,0.67384233744815,71,24,126,31
2.83862998168926,0.189832790012098,0.289840155746788,68,3,51,27
3.38423857307985,0.965876894311592,0.377016466642165,54,1,127,16
2.15294033297456,0.0178386512124166,0.995859598740935,78,25,84,30
2.48106140790591,0.385706644369462,0.798195523675531,69,14,55,21
2.4142345123404,0.00689794919111147,0.341164621058851,69,16,112,20
1.4607332514168,0.0142424954857691,0.750355147989467,75,12,135,28
1.24555376003657,0.427224053080013,0.573507308959961,74,22,142,25
2.23823686671288,0.0029482905494481,0.439550618175417,54,18,117,1
1.6006832824127,0.0343203199719859,0.671908222371712,58,32,82,27
0.71626301436475,0.214234525314914,0.462554793804884,63,19,124,24
0.756775193062245,0.0694115579805641,0.686049967771396,70,19,90,8
1.18514853764728,0.255261010648226,0.166911559412256,64,3,76,23
3.15804585879019,0.00440998051229427,0.641766226819563,74,1,116,24
2.0884218776267,0.00104059213787368,0.521562594076801,70,10,136,26
0.914630759649627,9.12920077415196e-09,0.553202333161607,75,4,94,24
3.84210177699256,0.0676338270867005,0.833419253118336,82,23,135,12
4.19698372147343,0.000193616894371124,0.0311249177902937,54,26,103,20
3.30606933894716,0.262983774329623,0.247636259300634,74,20,52,20
5.88636386054824,0.475529901503173,0.420801035594195,66,13,137,29
0.453677799540736,0.0581601311068136,0.148326317272224,79,23,121,9
2.1798727503821,0.0254543862269002,0.949245904572308,76,19,132,31
1.21936374851401,0.251744417133379,0.375690869055688,82,6,113,8
1.72744916329213,2.94505557059231e-05,0.887225184589624,74,22,69,6
2.2848277989665,0.0489042538719097,0.686605046503246,56,29,80,18
0.579295835132157,0.132339145416081,0.425589478341863,70,10,78,18
6.06571657904732,0.0872139421358611,1.82201723204066,75,13,108,3
2.36798210431993,0.5657796705372,0.845531572354957,64,16,112,16
2.75370885494094,0.349363343754296,0.994217944331467,55,29,139,20
1.07923259058206,0.00706990372974418,0.763926357263699,83,31,82,3
3.4892794450385,0.463805792191758,0.116043565771725,65,25,135,21
2.66305246757481,0.409491566387346,0.759329624706879,53,4,93,9
1.77750560298076,0.0424759496469459,0.550472220173106,77,7,89,26
8.98418669866419,0.0106392604873263,0.604448728030547,60,13,113,30
1.37601595402314,0.0083158464503348,0.958396730944514,62,13,126,18
4.91697779735844,0.266961055534314,0.473658992210403,83,10,141,6
5.68472228204165,0.675183780033457,0.880211391253397,83,14,64,14
2.21707639107371,0.160737713060984,0.290990721667185,63,30,137,27
1.94389742444246,0.174552136238293,0.0718809647951275,60,19,87,4
5.20919245623459,0.279028659596375,0.968864326132461,60,25,55,3
1.02937922600294,0.0493160996184152,0.590711711440235,60,18,131,14
4.8798508252467,0.00730556491953596,0.415214536013082,70,12,140,17
6.98856623543512,0.573058863755432,0.15864972746931,70,7,141,4
6.18053283793874,0.0215552839551202,0.0731216170046046,82,20,79,1
0.535553648035252,7.31721420126441e-05,0.74900636379607,66,13,55,16
3.67125264080235,0.717968420318164,0.407205630093813,62,11,66,28
2.6632313687708,0.312480097945635,0.387523229233921,79,5,100,5
1.43377915406987,0.0782752051416104,0.668385944562033,83,17,111,5
0.617753396152618,0.00232661877013745,0.426846638787538,83,10,137,10
1.76279477740499,0.626167921589017,0.566157720750198,65,25,85,8
3.31252250013788,0.000506399431374662,0.847954653669149,70,30,66,28
2.93060710869113,0.264743812089108,0.546268182806671,55,20,76,24
2.3220852506628,0.140313331636858,0.362991529749706,81,12,131,6
5.96299655874929,0.0154675549825509,0.585139609407634,70,26,136,15
2.93285925248143,0.0372789294668322,0.819036973174661,64,24,137,16
3.79423791497701,0.0155935464655346,0.416537875076756,56,12,103,3
5.08817901853396,0.112765457801627,0.345276120584458,57,18,122,5
3.14095133277596,0.17512493454376,0.341604249784723,66,24,85,19
3.87985887418054,0.0436159828839895,0.245749241439626,65,16,117,14
2.0773597731214,0.091344789847201,0.940750646404922,80,8,129,1
4.64744012155758,0.000714456430195569,0.962568848161027,67,25,72,32
10.2683696086427,0.207694437677598,0.926563472021371,51,14,120,31
1.87368312443465,0.0677319658478978,0.389559719711542,73,28,57,22
8.60995830060065,0.378050610679911,0.310627443807313,66,25,110,11
2.10576853483275,0.506171249072008,0.92048193491064,78,21,62,15
1.41123604947892,0.326102321346252,0.689031817717478,75,16,88,7
6.46487715262951,0.00364153276821668,0.465592699823901,73,12,118,21
3.0031599711994,0.173755271333056,0.45859792502597,67,6,143,2
4.85137985450019,0.609496410778693,0.667239477392286,83,6,52,31
2.87970598692812,0.00899241116901718,0.925572119420394,78,29,83,9
0.565078020317342,0.821593671583674,0.598099581664428,74,12,72,31
6.37761541553014,0.0128796822617371,0.424868125002831,72,3,140,13
1.10193836738591,0.00202805771132738,1.61219121446806,81,21,90,30
6.04657072794472,0.0262803958121823,0.999008673708886,66,31,63,9
2.0512214235724,0.131968211115442,0.623255537590012,63,9,120,1
4.41352786629381,0.0531212303163018,0.582143436186016,53,30,61,31
1.56366089825036,0.146873708413769,0.448461363557726,58,28,89,20
4.50655974376584,0.171140522714946,0.617018713150173,73,29,96,30
2.74522727429794,0.3522329206824,0.221479991683736,81,9,112,32
5.83794041657352,1.76456584003714e-05,0.601837542140856,76,32,61,15
5.59080872418931,0.0785048496786538,0.697194676846266,82,3,50,18
2.17606736238222,0.13611550467896,0.772554722381756,60,3,102,26
4.75253712105997,0.000304048247608887,0.190211487002671,65,18,108,21
0.781445163835292,0.000239297309065033,0.328114699106663,69,4,62,24
2.0127718034585,0.493212970901184,0.948752625845373,76,26,101,8
2.67975858705896,0.274592277636441,0.733124800492078,65,1,92,16
2.65632159020641,0.234186485742816,0.206618710421026,62,20,74,14
2.78329991835921,0.055646020382807,0.240771397249773,60,18,108,24
0.964103766252067,0.225517371988123,0.276409559724327,62,31,54,12
1.02312125744496,0.0310103456567439,0.989977876655757,66,21,127,18
2.05394146429746,0.00487258151908907,0.787091071087254,69,31,120,2
3.34967754274301,0.00931566348722107,0.0232653860002756,57,31,134,20
3.02320842472098,0.0221580584823774,0.221953965257853,73,25,121,3
3.80993318930098,0.000640474914530906,0.700576865579933,79,10,115,21
4.26419220257498,0.109054987771155,0.860721373232082,78,20,138,13
