"k","k_scale","rho","dispersion","tm_ini","loc_ini","sn1","sn2","sn3"
221.69755618231,1.168902599783,0.502988109865198,0.392456288063297,75,4,27.4178530954665,3.27493241659534,-0.0786587539958994
168.09047338139,1.31512501738637,0.0122646664783317,0.265042180362993,78,23,28.9056757483627,4.31880821250721,-1.07703519974168
222.532586784839,1.5022361006313,0.0959395295816871,0.271052260306321,78,21,30.2536842940786,4.10497420743909,-1.35894311499539
159.655421670047,2.36266729566898,0.190938675096233,0.465672582793101,81,1,28.4334456740121,3.30473043152264,-0.493079979446862
166.929293797038,1.35384824732261,0.686768279088409,0.233227956359719,50,3,27.2650376867484,3.01946276338219,0.139332997680107
310.056779745676,0.51404705837129,0.529250155631676,0.115447082576697,78,18,29.0223222550546,3.30934943167361,-0.358368806641446
193.39205613032,1.20339691261412,0.270071212566382,0.262017587015956,83,23,28.3743987827616,3.33323129478728,-0.195153144691604
168.553231089576,2.98351734135217,0.135751967634309,0.262278792046269,58,22,28.4760893867942,3.4412867149684,-0.463122643533893
274.346747230765,0.928488398926397,0.161321352606729,0.337384826709005,53,23,28.0403682512268,3.31585205342974,-0.254634386198179
195.469004248065,3.2417185024347,0.802989854531957,0.214474562788458,50,3,26.8133572414241,2.5981980348279,0.620159610954213
318.146674356692,2.07995210137906,0.280021736145124,0.476015005493537,73,26,28.3331831274583,3.79600690069109,-0.569126758160891
200.907587928972,1.44121272058393,0.514927656101338,0.609846262959763,75,11,29.0121660290242,3.47157829679834,-0.526522268204022
205.465012784623,1.55670382646942,0.0237492167956425,0.253192633212049,63,13,28.1360501093975,3.04583632028684,0.13832850962821
195.427915274326,4.2049814602846,0.222121012749283,0.257003400707617,66,16,29.3506218446268,3.64186088277504,-0.775901040646572
212.862273042589,2.97457980368921,0.422110339472396,0.463603173464183,76,23,26.2293423172072,2.48552507781597,0.657596809983357
172.680778774747,7.66296358104893,0.319489317905435,0.258270252543847,57,29,29.4208265742305,3.75986581524871,-0.74873648788124
200.545617433588,2.99081021266345,0.597874935266871,0.483363869726244,80,21,27.9512838848877,3.27567012596609,-0.145443043990431
174.427108676948,1.29910243861051,0.36541827780798,0.295084928697038,58,27,29.1576303094943,3.56107643820235,-0.666198321641001
280.427695624786,1.72987524281947,0.417920819565524,0.081314021737405,74,18,27.2957437757577,3.80886244372795,-0.183148425099013
211.780803882201,2.50968267319597,0.137685169007931,0.122456321362844,66,23,30.3834957321054,4.18754769372997,-1.24066542687696
445.665476145931,0.792316659635014,0.576242608273378,0.36299582145541,73,17,28.7804738894974,3.8221485053708,-0.813077482774294
216.932314643983,1.70124959211793,0.21992051222553,0.799783927725606,77,3,28.8781762788472,3.25031937734146,-0.404754110768749
273.276729975628,1.4527958027236,0.0894828540898078,0.169660055777058,78,15,27.8838348308493,3.33183328660831,-0.0935285978862135
158.881044723049,1.22331691786925,0.0547463637992089,0.204080008465546,63,11,29.959930026407,3.47800221228966,-0.67640253660115
201.789031976572,1.85814377071364,0.142278475231663,0.211568084079772,65,32,27.1486796984079,2.86761676745783,0.307707413128836
230.054242314283,1.21834659525029,0.0622827956928567,0.429188341944629,74,11,27.3650550980919,3.4006461153809,0.0109057661835045
153.477785738019,1.15069100662797,0.0617714794114767,0.0835762770848158,62,26,29.275469863181,3.070076160725,-0.512022249789165
246.331613399724,1.5938477818136,0.218404902283275,0.154967992311308,79,5,28.1214499306386,3.49053821247675,-0.391358246198645
277.509955592014,0.791871377056162,0.192216328979388,0.831470497943478,80,31,29.0544972625496,3.95557432648401,-1.05928662628018
169.91522158786,2.65323164259949,0.117404081765997,0.558723560580876,81,15,27.0361978782329,2.86389203207326,0.286401615297457
303.453156941092,1.66764355989235,0.56613799620029,0.172307058854478,78,2,28.7039707203777,3.55740826154745,-0.601774351599765
242.334778677097,0.775492660009417,0.153304882458213,0.221422057612299,76,2,27.7908662631165,3.52455469901674,-0.187658573999089
105.838273920085,3.55373684159571,0.0362904109159456,0.117156956344843,67,16,28.0092697500781,3.61821933175724,-0.285883902861372
219.492226936072,1.2406163766949,0.47457370922385,0.633977165679212,52,9,29.650039508197,4.11227273261916,-1.09470210981131
215.947299947676,2.97293024889935,0.0340432079574061,0.309332057580809,52,18,28.7270044355024,3.96479575865616,-0.565309631292673
202.499141104058,4.91586302261955,0.207142193895507,0.383950182469562,66,13,29.4320592187809,4.46494462572641,-1.27623627905293
230.477866581869,1.56283421356789,0.0311673608079316,0.221536163240671,83,27,29.4586262465983,3.65211378691881,-0.662214012604846
202.339443547625,1.61984895314303,0.105307493710539,0.296070300107209,56,28,29.4003270054229,3.54409377545603,-0.86987199843816
194.541536661548,4.75179532424956,0.0537072265850428,0.726114056697545,55,29,30.6250523776785,4.13206538867978,-1.24385790995695
191.048586022777,1.10355036079015,0.265256410565777,0.331142523747394,65,14,29.2393866518715,3.58654870174014,-0.635401235803789
387.19884788183,0.696612684949108,0.118669186249835,0.232768572064971,82,1,28.5845444550759,3.97560979439445,-0.69110039224769
258.334920325374,0.576621696246334,0.0938408135644195,0.358415340685282,53,3,28.0731506285188,3.51078134529608,-0.118389008424701
123.616439515152,1.07524035068334,0.504157745368746,0.359671647645151,68,29,27.7075648211171,3.16563428075456,-0.20538594015899
296.004179911293,1.08451554439117,0.019823429220799,0.306398187763989,71,4,28.9389237114205,3.78190113004752,-0.678626451403556
151.491909824587,1.6141816212957,0.128777696819074,0.19181099779918,81,1,27.6110661489008,3.35587444460592,-0.0570886645083136
232.950108691373,1.67956076476382,0.0677877150895751,0.503971099500214,53,5,28.8210090175449,3.58746726698387,-0.447083353890143
202.499141104058,4.91586302261955,0.207142193895507,0.383950182469562,66,13,29.4320592187809,4.46494462572641,-1.27623627905293
133.862831103322,2.26698335389829,0.109127885028725,0.231793547945186,78,28,28.5411504365623,3.11552688429525,-0.149015970019626
225.392998931664,1.53578735858356,0.150383279541769,0.277587690013595,59,18,26.9065662528382,3.66783631236992,-0.133639764605891
203.120373928594,0.919797510417703,0.0468524495092214,0.583349472843111,58,30,28.1372832282847,3.40934493189201,-0.31334153151661
263.897075710427,1.67407847911818,0.0449009655692486,0.119956725352539,56,2,27.719563199335,3.1926519817627,-0.0799051326287489
155.165436294405,0.623048420999218,0.186401432702075,0.268443751683098,72,26,28.494594861724,3.54467110360849,-0.495714733337669
307.670034974836,2.11754664557904,0.554920745139372,0.425029629612566,53,11,28.6377945478187,3.6138822948419,-0.539262846400953
235.984076016261,0.399460712089661,0.953511467025401,0.507121765680001,76,26,28.1822051846973,3.40239602415371,-0.0984780034826371
234.765427594525,1.21379993768489,0.190477495975532,0.494674449786544,55,8,28.6898500566458,3.15287298199687,-0.345237611145075
214.269925165653,0.671197674207121,0.399127461067038,0.117074131206286,55,21,30.6115421096813,3.86720288441859,-1.30570001039554
230.600821566139,1.7748467753535,0.246330062550513,0.213375954534698,76,10,28.0660773169182,3.20003483980199,-0.00410948036606468
318.965950926163,1.84243174404,0.0218386326315456,0.375855989431981,63,8,29.1119060749999,3.54788226298198,-0.549787812999046
177.085546319275,2.0221544442207,0.0328458177706496,0.856792502570897,62,26,28.1609648109538,3.64686180350366,-0.408103383641508
325.755752917053,0.850311121083325,0.0293873436302115,0.202500656945631,80,31,29.0544972625496,3.95557432648401,-1.05928662628018
142.857347539657,4.15888930985599,0.536172532086579,0.682469063027224,78,17,26.8992323950305,2.55029134530547,0.714594983570237
226.27935994921,0.841352001826505,0.378752342043889,0.393874667817727,50,18,28.0213256271787,3.21311943904576,-0.0854828124248007
194.424806743822,1.37995500856153,0.0979899064796301,0.169984911103239,73,16,30.4493985242651,4.24904764544648,-1.28890823164286
275.298163748261,2.57877017356559,0.0264339739010592,0.0794390097726136,74,26,27.9627562553176,3.54323057451289,-0.261007608494312
240.81860194529,2.86582020926068,0.0587006676804667,0.594393524341285,70,26,30.5015322346502,4.07283745840502,-1.40279616074928
197.840067859377,4.68240688197845,0.924769066632445,0.143631373262216,79,19,28.4455399584698,3.48904922917899,-0.267414453566557
175.898554543756,0.837739531681421,0.58901020813229,0.206596611890428,59,24,30.1133619281227,3.97012935214099,-1.0924418345459
192.553065030337,1.23012866345166,0.338877388914584,0.311215466493368,72,10,27.9270080992335,3.04507795789985,-0.120223617340928
137.985875777741,2.71445121641166,0.378347565848201,0.194112404436341,50,17,30.2233737009596,4.23187626684063,-1.27465013460683
205.242743629429,2.73442506030087,0.0431040848810089,0.246829278055614,52,9,30.6569165435922,4.21040242623711,-1.41339614854375
327.023216525997,2.81021001635816,0.0706317305794216,0.464563387846553,78,8,27.5070042135672,3.36161987433798,-0.0650322835299952
209.525223789796,3.77630231774715,0.359310326306123,0.116398222279848,50,13,27.9221299744399,3.16458261190291,-0.21665854963323
