"k","k_scale","rho","dispersion","tm_ini","loc_ini","sn1","sn2","sn3"
169.130070733069,2.25053860813304,0.172258669188677,0.2587933416944,67,31,26.8429055851552,2.92357795242576,0.379156119837663
195.311540430932,1.93102551345268,0.326659735818422,0.642869125818834,53,25,30.9936082628903,4.30818811507752,-1.2924814487965
159.950280756563,3.4248449675312,0.143843890401333,0.799075758084655,65,5,29.0643819600258,3.1551745419695,-0.395784706091803
238.521186296894,2.13824966924845,0.726785076128444,0.0840067893732339,53,17,27.6545628390962,3.06324468604125,-0.0705725672990676
220.183000896086,8.41960059469484,0.0065913092283157,0.172525222878903,54,10,28.4891341531747,3.2786064237492,-0.197432603344836
227.581461833867,1.79559971480663,0.624396106196155,0.144195940345526,73,3,26.324973031461,2.85015285319553,0.454856971975165
275.824277628222,0.418103033825201,0.0418111508827828,0.227785093476996,81,23,28.1815910802883,3.22452515489537,-0.0149933280048946
250.321125743566,4.01709517022359,0.00061147237422804,0.400308078154922,81,5,31.3300030890536,3.87239634292698,-1.38952403901722
188.149623878355,1.78533885548411,0.455485767578292,0.791286835679784,58,2,29.9154936172477,3.79808623154274,-1.11225389522918
160.947113873024,2.21604569671327,0.0233255578861805,0.264352613594383,60,1,26.7445532019423,2.80116897923041,0.476223605417682
266.984060250325,2.38681760697311,0.806438954792467,0.248589238151908,67,29,29.2127577321159,3.88631857742105,-0.717643779782186
300.647870540498,1.33012917835477,0.207395206629154,0.358276827726513,80,28,28.223730454596,3.86252471842001,-0.556500170716487
259.786733958862,2.43144639682902,0.275268955151707,0.561689030379057,69,32,29.6934222909004,3.74508419455399,-0.922303990859857
201.833668723692,3.06014438652502,0.0541983320620725,0.345019144704565,60,7,29.6118982293541,3.83440931175038,-0.766249234379023
184.829670234651,2.33624480556956,0.0894751134030936,0.454409571597353,73,31,29.5246692615682,3.40852694793839,-0.598594752260363
175.414399313172,2.15355399330112,0.101248495459889,0.274484351975843,66,3,29.7694970634818,3.44020084775156,-0.940594785054343
188.415667831325,2.4126046283542,0.00587254010219761,0.275952100520954,74,32,27.7356717829119,3.11969893858058,0.0178262425776777
229.53152543147,2.66207283443506,0.132263802912678,0.241219357587397,77,15,27.7510789732636,3.90645010401367,-0.56258655775923
186.276303151748,6.12403509989044,0.0752353955960254,0.0750839672982693,80,6,27.7392030674827,3.39437641743221,-0.211784234681835
193.30376993676,0.856609920754276,0.281702223784923,0.22260197927244,80,23,27.4925594582334,3.05500350280407,-0.0667723577113138
177.344888585475,3.1565602220625,0.0750125145208954,0.847712055547163,71,1,28.3153197437384,3.65084530147957,-0.406890882940276
279.527128842688,0.51878759521758,0.148909095629034,0.3264171986375,56,3,27.882802171656,3.55584512682258,-0.342503648551459
215.480535912509,1.9770849069239,0.0906318674686279,0.820385624654591,75,29,28.9226446483046,3.6701440345382,-0.718834665929939
188.142101345793,2.80760651299201,0.186737850156288,0.911671583540738,62,32,28.7790498196805,3.64505594927104,-0.494342593450622
269.533261131932,2.98511216133883,0.0235322508827744,0.863662139279768,59,20,28.8235089544729,3.27052611889794,-0.393534842237054
261.923777532875,1.87267363282525,0.000598898992046949,0.802288344828412,65,15,26.1635017490165,2.72262848470277,0.686903841041337
262.459180104141,1.63922978523522,0.1483617903048,0.620433955918998,51,27,29.8872025193492,3.89302364538624,-0.864078000153726
200.288777116935,6.78748367924467,0.679749513002975,0.229272845434025,75,26,28.1292519048457,3.12642670500962,-0.110802173571377
260.78176906151,0.952894929081401,0.0179955128898574,0.0864272094331682,83,8,26.7870524005729,2.7188662715077,0.412385594656019
333.269817229475,6.88167310688385,0.141532937291432,0.994476843625307,60,32,26.3537741149613,2.54854265741911,0.710330760065578
226.467356442142,6.75842536070268,0.285764178586854,0.931398305576295,52,3,29.9159128805749,4.3731429556687,-1.2992214434043
168.45514316743,2.02190685123108,0.106337503299971,0.423374665668234,52,5,30.6550763367828,4.16108768417683,-1.24386442546096
265.516445752244,3.2747037466942,0.0282915797312205,0.730604140087962,80,28,27.9521719057078,3.54072264039281,-0.372020701078313
202.513871218075,3.27268108841105,0.0180828995177093,0.361801611725241,67,9,28.9778761321401,4.27772775126718,-1.18134178059998
278.064369767735,4.98191533928843,0.880079772626753,0.714248484931886,57,12,28.2481277483474,3.01645452846086,-0.128055820684769
218.742254578226,2.30242033263504,0.38487962501937,0.513208706863225,54,31,28.1851371115054,2.94617977256959,-0.0736685237275073
111.3560977035,4.14695287162904,0.00110225022255814,0.743578862631693,83,14,30.0256658394802,3.49509166765883,-0.982020614584903
275.764707930703,1.98904352679151,0.0154222086951783,0.0085799116641283,56,28,28.7723601983307,3.35876471880584,-0.251927210808483
183.660666395315,3.36874213864896,0.122983669673794,0.955892507452518,59,14,28.6333477501929,3.27114691216638,-0.146017643765711
172.21568682088,0.889444397294276,0.0345911797507397,0.0260516577400267,75,28,27.6612171996352,4.07788511658519,-0.608237661202875
246.680792116122,0.903140866699436,0.0243250169108852,0.835684830555692,70,23,27.6771863253646,3.33840807899191,-0.0448798092049282
251.754046346329,5.24737730271159,0.176983425177141,0.994284490589052,65,26,27.8318627168579,3.37924168346128,-0.177169186165474
197.169209057566,0.739052725038178,0.00164084373588177,0.567388354800642,56,10,27.4511625678149,3.57177044416879,-0.127505867466904
147.848270101378,1.65872179236288,0.137114518378094,0.183885742677376,59,19,29.1966024862329,3.79614465585113,-0.799229492060523
147.632367221597,4.19735411784145,0.136979016348332,0.993976849364117,72,3,28.070759834153,3.0877522609783,-0.0942315802163809
